0,1860,2160,2100,1320,2160,2340,2340,1980,1620,1620,1500,2220,1920,2280,1740,1620,2520,2100,2760,0,1500,2700
1740,0,1020,1440,1980,1620,1920,1500,1260,2220,2280,2100,1440,2220,1680,2340,2160,1800,2700,1980,1740,2100,1920
2160,1020,0,840,2220,960,1560,600,960,1980,2280,1860,1380,1620,1080,1740,1980,1320,2280,1680,2160,1860,1500
1860,1260,780,0,1500,540,780,960,1200,1320,1620,1200,1320,1140,660,1320,1320,960,1800,1440,1860,1200,1320
1320,1980,2280,1800,0,1860,2040,2160,2100,1140,480,1020,2340,1620,1980,1440,1140,2160,1620,2640,1320,1020,2520
2040,1680,960,600,1680,0,660,900,1140,1440,1740,1380,1260,1080,120,1260,1440,900,1740,1380,2040,1380,1200
2220,1920,1500,1080,1800,780,0,1320,1560,1620,1980,1560,1740,840,660,1020,1620,1140,1500,1860,2220,1560,1560
2340,1560,660,1020.0,2040,900,1380,0,720,1800,2100,1680,1020,1440,1020,1620,1800,840,2100,1200,2340,1680,1020
1980,1380,960,1260,2220,1200,1620,780,0,2100,2400,1980,540,1620,1320,1800,2040,840,2280,1200,1980,1980,1020
1680,2400,2100,1560,1080,1620,1740,1860,2040,0,1140,480,2220,1320,1680,1140,180,1860,720,2340,1680,480,2160
1620,2460,2580,1980,540,2040,2220,2340,2520,1020,0,720,2700,1800,2160,1620,1020,2340,1500,2820,1620,720,2640
1680,2340,2040,1500,1020,1560,1680,1800,2040,600,660,0,2220,1320,1680,1140,600,1860,1020,2280,1680,0,2160
2220,1620,1440,1560,2460,1500,1920,1080,660,2400,2700,2280,0,1920,1620,2100,2340,1140,2580,720,2220,2280,1080
1980,2280,1620,1200,1620,1200,1140,1500,1740,1500,1800,1380,1920,0,1200,660,1440,1140,1200,1860,1980,1380,1620
2160,1740,1080,660,1800,120,540,1020,1200,1560,1860,1440,1380,1080,0,1260,1560,1020,1800,1500,2160,1440,1320
1920,2400,1740,1320,1560,1260,1200,1560,1800,1380,1680,1260,1980,660,1260,0,1380,1260,1080,1980,1920,1260,1680
1680,2400,2160,1560,1080,1620,1800,1860,2100,180,1140,480,2220,1320,1740,1200,0,1860,900,2340,1680,480,2220
2400,1800,1200,960,2040,900,1260,720,840,1800,2100,1680,1020,1140,1020,1260,1800,0,1800,1080,2400,1680,960
2160,2880,2340,1920,1560,1860,1800,2160,2400,600,1560,1020,2580,1260,1860,1080,720,1860,0,2580,2160,1020,2280
2760,2160,1560,1560,2640,1560,1980,1080,1260,2400,2700,2280,720,1800,1680,1980,2400,1140,2520,0,2760,2280,840
0,1860,2160,2100,1320,2160,2340,2340,1980,1620,1620,1500,2220,1920,2280,1740,1620,2520,2100,2760,0,1500,2700
1680,2340,2040,1500,1020,1560,1680,1800,2040,600,660,0,2220,1320,1680,1140,600,1860,1020,2280,1680,0,2160
2700,2100,1560,1560,2640,1500,1740,1020,1200,2340,2700,2280,1080,1560,1620,1740,2340,1080,2280,960,2700,2280,0